Name,Pool 1,Pool 2,Final
"DAROIAN, Emon",64,0,63
"GRIFFITHS, Ryan",64,0,66
"HESSLEGRAVE, Porter",66,0,64
"CHAO, Kevin",66,0,67
"KELLER, Kai-Moritz",68,0,68
"FREIMAN, Samuel",69,0,69
"LARSEN, Samuel",70,0,70
"BOGERT, Alexander BRYCE",71,0,71
"DE GUZMAN, Inaki",72,0,72
"SUVOROV, Yuly",73,0,73
"SOZER, Jon",74,0,74
"HOLTZ, Donovan",75,0,75
"KHAYAT, Ziad",76,0,76
"CROUSE, Wolfe",77,0,77
"JONES, Simon",77,0,77
"YEH, Benjamin",79,0,79
"ZACHARAKIS, Darius",80,0,80
"LAURON, Sean",81,0,81
"DINKINS, Ramadan",82,0,82
"HURME, Tommi",DNF,0,DNF
"BRATTON, Benjamin",1,10,23
"PRYOR, Jason",2,23,37
"RODNEY, Adam",3,4,20
"SCHUMACHER, Cooper",4,17,65
"HOYLE, Jacob",5,32,7
"KAULL, James",6,30,14
"WEISS, Lewis",7,15,3
"TSINIS, Alexander",8,52,3
"EWART, Stephen",9,9,1
"PISKOVATSKOV, Anton",10,41,67
"YOO, Justin",11,29,13
"MCDOWALD, Curtis",12,27,2
"KRAFT, Dennis",13,38,44
"CANAUX, Gabriel",14,2,18
"SIMMONS, Ariel",15,19,6
"YERGLER, Jonathan",17,7,33
"ELASHRY, Zeyad",18,12,5
"JOHNSON, Wesley",19,12,34
"RAYNIS, Jake",20,10,23
"HANAHAN, Nicholas",21,22,11
"WILSON, Sean",22,3,19
"KOCH, Samuel",23,30,14
"NOLLNER, Dylan",24,6,22
"ZELLER, Zachary",25,114,114
"JONES, Simon",26,44,29
"SMOAK, Omari",27,34,40
"HERBST, Isaac",28,16,10
"RODELL, Clinton",29,49,49
"BLAIS-BELANGER, Marc-Antoine",30,8,9
"WHITE, Sean",31,1,17
"TEPEDELENLIOGLU, Mehmet",32,105,106
"FAYEZ, Ayman",33,58,16
"BRADFORD, Jack",34,48,68
"MACZIK, Adam",36,39,45
"SMITH, Dwight",37,33,39
"MILLER, Finn",39,82,85
"THEIN-SANDLER, Adrien",40,73,57
"SHINDLER, Oliver",41,5,21
"TAFOYA, Devin",42,105,106
"CULLEN, Daniel",43,120,120
"HRAPSKY, Ryan",44,54,72
"HOUSE, Alex",45,90,91
"SHERRILL, Edward",46,28,12
"FRENCH, Dylan",47,112,32
"HAIDER, Syed Safi",48,59,51
"KIMATIAN, Harrison",49,43,46
"ARIETA, Ryan",50,93,94
"HONDOR, Robert",52,95,96
"CARPENTER, Liam",53,62,53
"DINKINS, Ramadan",54,68,56
"CROUSE, Wolfe",55,57,50
"TOLKACHEV, Denis",56,89,31
"FRANK, Timmy",57,18,35
"CHAO, Kevin",58,77,83
"KUNG, Aidan",59,61,75
"COMES, Matthew",60,37,43
"ANA, Ionut",61,64,54
"CONNOR, Ryan",62,39,66
"YAMASAKI, Kyle",63,123,123
"HANSEN, Jonas",64,88,64
"STRONG, Sean",65,42,8
"WIEDER, Benjamin",66,20,26
"VOLKMANN, Daniel",67,46,48
"SLESS, Alexander",68,26,28
"WANG, Bowen",69,36,42
"VAYSBERG, Nathan",70,124,124
"LAURON, Sean",71,66,78
"POULIQUEN, Nicolas",72,77,83
"COLE, Joshua",73,49,69
"KELLER, Kai-Moritz",74,125,125
"LEE, Aaron",75,126,126
"ISRAELIAN, Marat",76,47,30
"FISHLER, Clifford",77,127,127
"HAN, Matthew",77,92,93
"DOSS, David",79,75,59
"MALLETTE, Cole",80,128,128
"GRAMS, Steven",81,129,129
"DECKER, Tristan",82,130,130
"JI, Victor",83,131,131
"RAYLE, Evan",84,81,63
"CHERIS, Zachariah",84,132,132
"KUSHNERIK, Ethan",84,132,132
"CALLAGHAN, Sean",87,55,73
"BENNION, Michael",88,86,89
"SPITERI, Gareth",89,134,134
"PASSOW, Glen",89,134,134
"RUSSELL, Ben",89,111,112
"COLE, Elias",92,136,136
"CHENG, Zachary",92,102,103
"MANDOKI, Sandor",94,137,137
"BETHEL, Dylan",95,138,138
"RHEA, R. Rob",95,122,122
"HESSLEGRAVE, Porter",97,67,55
"SHEPARD, Trevor",97,116,116
"PEGRAM, Tavish",99,99,100
"SHIFRON, Daniel",100,139,139
"MATVEEV, Valentin",101,73,57
"BUCKLEY, Michael",102,140,140
"BEKKER, Samuel",103,141,141
"ZACHARAKIS, Demetri",104,91,92
"LANGE, Henry",105,45,47
"BODON, Michele",106,142,142
"KIMATIAN, Stephen",107,121,121
"MCINTYRE, Kendric",108,143,143
"CHIEN, Brandon",109,144,144
"WESSEL, Addison",110,145,145
"DATTA, Paul",111,146,146
"NEU, Matthew",111,146,146
"ALEXANDER, Charles",113,148,148
"HILBERT, Xavier",114,149,149
"YEH, Benjamin",115,150,150
"CHO, Jonah",116,21,36
"EDWARDS, Ethan",116,151,151
"CANDREVA, Hunter",118,152,152
"TRUMBULL, Emmett",118,72,82
"ROTH, Charles",120,62,76
"CULPEPPER, John",120,105,106
"LI, Jason Man Kit",120,118,118
"NAIR, Tarun",123,79,61
"ZHANG, William",124,96,97
"LEE, Woosuk",125,153,153
"SMITH, Justin",126,103,104
"BREWER, Andrew",127,154,154
"RWAMASHONGYE, Alexander",128,155,155
"NGUYEN, Ethan",128,110,111
"FULMER, Andrew",130,156,156
"ZHANG, Joshua",130,156,156
"MCGINNIS, Aidan",132,158,158
"HSING, Lucas",132,158,158
"BISSINGER, Michael",134,14,25
"POLAKOSKI, David",134,160,160
"KRAVITZ, Zach",136,161,161
"ETCHELL, Thomas",137,60,52
"TABLEMAN, Doug",137,69,79
"KUMASHI, Mihir",139,70,80
"HSIEH JAROV, Seraphim",140,80,62
"GUINAN, Joseph",141,24,27
"ZILINSKIY, Eduard",142,25,38
"GRAB, Ethan",143,55,73
"KIM, Christopher",144,84,87
"KHAYAT, Ziad",145,76,60
"MILAM, Hugh",146,162,162
"CAMPBELL, Daniel",147,187,187
"HABIB, Farooq",148,163,163
"CHMUT, Anton",149,164,164
"MECHKOV, Iliya",150,53,71
"BANYON-MRAK, Aiden",151,165,165
"NGUYEN, Cuong",151,188,188
"ADOLPHE, Benjamin",153,86,89
"SHIREY, Daniel",154,166,166
"LANDA, Albert",155,189,189
"SANTOS, Cameron",156,167,167
"GALENO, Alfred",156,167,167
"PARK, Thomas Junseo",158,97,98
"MACHULSKY, Ned",158,115,115
"SNYDER, William",160,169,169
"SODERBERG, Alex",161,98,99
"DINGMAN, Spencer",163,191,191
"ARMSTRONG, James",163,191,191
"POST, Jason",165,193,193
"ENGEL, Hans",166,194,194
"PICARD, Christopher",167,84,87
"MUN, Michael",168,170,170
"RA, Daniel",169,195,195
"MUNLIN, Donovan",169,100,101
"MASON, Alexander",169,112,113
